,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
128,224030_s_at,-1.218668228,3.324612092,-5.066066914,1.20E-06,7.63E-05,5.127254848,TCAF1
129,233364_s_at,-1.215417003,6.971210362,-5.066712032,1.20E-06,7.63E-05,5.129980284,NA
130,209598_at,-1.211459159,4.873704243,-5.721516634,5.74E-08,1.63E-05,8.014875963,PNMA2
131,203967_at,-1.209967282,3.786399014,-4.469002991,1.56E-05,0.000364053,2.712402261,CDC6
132,202984_s_at,-1.206747597,7.079840906,-3.065519737,0.002587453,0.013378275,-2.006496771,BAG5
133,209255_at,-1.204872565,6.323589399,-4.523901948,1.24E-05,0.000312921,2.925146962,KLHDC10
134,213880_at,-1.203827946,7.182163496,-3.262210726,0.001375184,0.008353317,-1.434342454,LGR5
135,216563_at,-1.203735742,6.736365423,-3.790186018,0.000219266,0.002185666,0.250068473,ANKRD12
136,213446_s_at,-1.19917944,6.246187783,-5.612210111,9.68E-08,2.00E-05,7.517486028,IQGAP1
137,229281_at,-1.198791985,6.983877021,-3.011095766,0.003066247,0.015206082,-2.159314289,NPAS3
138,1555427_s_at,-1.198498624,5.09696548,-5.093018965,1.07E-06,7.12E-05,5.24132417,SYNCRIP
139,219038_at,-1.198472476,6.709119138,-4.554589167,1.10E-05,0.000288451,3.044913521,MORC4
140,1554966_a_at,-1.196949076,6.102069844,-3.858264103,0.000170582,0.001830175,0.482428645,FILIP1L
141,224949_at,-1.196579636,8.302860239,-4.895997452,2.55E-06,0.000118235,4.41726253,YIPF5
142,204256_at,-1.195214255,6.342043357,-6.018475052,1.35E-08,7.51E-06,9.395868989,ELOVL6
143,203764_at,-1.193649039,5.362652875,-3.355488144,0.00100886,0.006613047,-1.152292448,DLGAP5
144,222344_at,-1.192822644,7.266962147,-3.88868856,0.00015232,0.001684483,0.58735664,NA
145,224726_at,-1.192288558,8.124200495,-3.799391057,0.000211987,0.00213132,0.281289451,MIB1
146,201914_s_at,-1.190378782,7.504176714,-5.119306748,9.48E-07,6.66E-05,5.352984872,SEC63
147,205632_s_at,-1.18888729,7.502281784,-3.922649808,0.000134134,0.001547851,0.705268444,PIP5K1B
148,224956_at,-1.188858628,6.749544211,-4.957681615,1.95E-06,0.000100446,4.672804251,NUFIP2
149,211909_x_at,1.188374031,5.949691508,4.454669681,1.66E-05,0.000377943,2.657179864,PTGER3
150,228821_at,-1.188109304,6.654108211,-4.403358404,2.04E-05,0.000433386,2.460592752,ST6GAL2
151,229085_at,-1.187514311,4.683494231,-3.812795077,0.000201796,0.002058052,0.326862724,LRRC3B
152,227354_at,-1.185624529,3.982655767,-4.500827776,1.37E-05,0.000335038,2.835492131,PAG1
153,239672_at,-1.183580028,4.797772993,-4.717103337,5.52E-06,0.000190058,3.689149624,NA
154,204324_s_at,-1.180720344,4.108077676,-4.807610356,3.75E-06,0.000151107,4.055079709,GOLIM4
155,235739_at,1.179755802,6.616806405,4.045039197,8.43E-05,0.001115513,1.137009014,NA
156,204444_at,-1.178150723,5.247069187,-3.521601694,0.000572057,0.004368326,-0.633282088,KIF11
157,205528_s_at,-1.177550433,7.298669905,-6.054364383,1.13E-08,7.15E-06,9.565608418,RUNX1T1
158,236085_at,-1.177443624,5.16380311,-4.278869896,3.37E-05,0.000597781,1.990883672,CAPSL
159,217717_s_at,-1.176107003,10.1258175,-5.952019579,1.87E-08,9.15E-06,9.08315109,YWHAB
160,209642_at,-1.175992504,4.328019239,-4.23186336,4.07E-05,0.000676773,1.816225019,BUB1
161,235059_at,-1.175926616,3.82152303,-4.667009735,6.83E-06,0.000215987,3.48879672,RAB12
162,243463_s_at,-1.172886287,7.123682555,-4.586885184,9.58E-06,0.000265485,3.171610349,RIT1
